"Title:","crashesnew.csv"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | Dodge | Ford | Honda | Lincoln | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37E4D48"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, Dodge, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Lincoln, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1991",7338,8,336,1426,192,40,4308,8,176,650,152,40,72,20
"02/1991",7294,8,354,1378,188,50,4318,8,174,674,138,50,90,28
"03/1991",8494,18,428,1474,282,56,5128,18,226,732,180,56,138,48
"04/1991",8142,8,382,1498,354,70,4716,8,228,690,186,70,226,98
"05/1991",9586,10,462,1764,482,58,5446,10,224,894,224,58,428,156
"06/1991",10136,26,452,1834,540,60,5562,26,236,844,232,60,444,180
"07/1991",10310,20,482,1818,486,64,5552,20,234,808,210,64,510,172
"08/1991",10732,14,456,1912,498,86,5924,14,248,870,238,86,514,162
"09/1991",9620,8,430,1702,412,54,5410,8,210,806,202,54,386,132
"10/1991",9762,4,494,1784,358,110,5500,4,242,852,232,110,284,88
"11/1991",9472,32,532,1764,316,88,5630,32,264,822,246,88,162,52
"12/1991",8704,24,452,1726,278,98,5268,24,246,886,224,98,106,34
"01/1992",7598,10,416,1370,216,56,4496,10,192,670,176,56,116,34
"02/1992",7178,14,384,1314,238,56,4280,14,184,606,194,56,122,22
"03/1992",7432,12,376,1282,286,50,4420,12,190,676,198,50,208,64
"04/1992",7762,8,394,1354,314,52,4388,8,174,664,180,52,312,102
"05/1992",9096,22,462,1512,410,72,5158,22,216,694,216,72,484,132
"06/1992",9510,14,472,1668,436,64,5228,14,212,790,204,64,504,186
"07/1992",9340,8,474,1736,382,84,5128,8,238,814,182,84,410,122
"08/1992",9832,18,462,1818,424,70,5462,18,202,868,216,70,498,154
"09/1992",8694,10,376,1602,368,60,4704,10,186,708,192,60,386,120
"10/1992",10104,8,520,1766,402,66,5788,8,250,848,274,66,306,78
"11/1992",8796,8,448,1646,362,72,5238,8,226,730,254,72,192,70
"12/1992",9112,14,444,1776,312,70,5434,14,218,824,268,70,96,26
"01/1993",7498,16,394,1374,240,68,4410,16,176,642,192,68,134,46
"02/1993",6994,6,402,1234,234,60,4148,6,192,590,194,60,142,36
"03/1993",7946,14,424,1410,260,66,4578,14,196,640,198,66,234,56
"04/1993",8102,16,386,1458,334,68,4578,16,172,674,176,68,430,148
"05/1993",9308,12,450,1674,398,68,5188,12,236,720,218,68,606,170
"06/1993",9070,12,462,1614,404,72,4946,12,192,708,232,72,560,156
"07/1993",10202,10,462,1820,492,80,5494,10,192,834,274,80,736,202
"08/1993",10268,8,526,1734,486,92,5412,8,246,736,252,92,726,218
"09/1993",9548,10,502,1706,420,82,5122,10,224,756,238,82,616,174
"10/1993",10300,22,520,1918,392,110,5994,22,276,926,266,110,418,110
"11/1993",9292,20,486,1794,332,82,5308,20,216,808,272,82,212,54
"12/1993",9026,12,448,1764,260,72,5338,12,208,850,218,72,130,38
"01/1994",7634,6,382,1476,254,44,4264,6,186,694,194,44,132,52
"02/1994",7102,6,330,1340,264,44,3926,6,148,594,212,44,156,50
"03/1994",8116,12,434,1456,324,60,4602,12,218,688,232,60,288,84
"04/1994",8720,10,420,1558,378,60,4838,10,200,730,240,60,416,130
"05/1994",9298,14,390,1740,406,92,5078,14,186,816,234,92,578,150
"06/1994",9214,16,472,1668,480,70,4906,16,200,750,284,70,548,182
"07/1994",10052,22,466,1866,460,70,5336,22,222,760,256,70,700,190
"08/1994",10228,4,514,1882,474,92,5484,4,208,836,272,92,588,190
"09/1994",9624,4,482,1784,468,60,5208,4,212,760,290,60,504,160
"10/1994",10372,16,514,1960,412,72,5692,16,226,844,292,72,440,114
"11/1994",9506,10,512,1868,338,102,5364,10,236,898,288,102,186,46
"12/1994",9956,16,558,1852,362,98,5850,16,228,862,308,98,144,50
"01/1995",8298,12,466,1602,244,64,4634,12,192,730,198,64,110,36
"02/1995",7494,16,374,1444,280,66,4358,16,188,668,238,66,142,38
"03/1995",8682,10,456,1672,346,70,4846,10,190,770,262,70,250,78
"04/1995",8582,8,440,1636,388,66,4840,8,198,716,258,66,366,122
"05/1995",9058,12,446,1746,424,60,4932,12,198,778,246,60,528,162
"06/1995",9842,14,500,1700,436,66,5206,14,220,746,246,66,586,172
"07/1995",10122,14,562,1860,492,84,5360,14,240,808,266,84,618,210
"08/1995",10852,6,566,2002,562,88,5728,6,248,846,360,88,648,186
"09/1995",10194,18,540,1862,442,84,5498,18,242,792,284,84,504,150
"10/1995",10590,20,540,2014,452,76,5672,20,216,878,296,76,440,140
"11/1995",9630,12,522,1882,376,94,5360,12,236,818,318,94,190,46
"12/1995",9704,18,528,1854,368,94,5450,18,230,754,322,94,150,40
"01/1996",8414,6,392,1682,300,54,4452,6,134,738,252,54,152,44
"02/1996",8074,8,468,1512,274,66,4400,8,190,604,222,66,162,44
"03/1996",8764,12,484,1642,322,86,4814,12,192,734,244,86,212,68
"04/1996",8952,22,446,1716,376,70,4986,22,184,756,272,70,370,100
"05/1996",9318,8,540,1718,436,80,4938,8,236,744,280,80,490,142
"06/1996",10228,10,546,1826,470,78,5194,10,194,764,268,78,674,172
"07/1996",9590,6,494,1814,446,80,4998,6,186,798,260,80,514,170
"08/1996",10570,8,616,2008,484,86,5374,8,228,848,292,86,628,168
"09/1996",9874,8,522,1812,474,90,5284,8,212,796,290,90,494,160
"10/1996",10606,12,534,1950,486,82,5732,12,192,848,350,82,386,124
"11/1996",10102,16,582,1870,404,102,5590,16,242,768,348,102,144,46
"12/1996",10202,14,574,1946,390,104,5732,14,246,890,350,104,118,34
"01/1997",8752,10,452,1672,276,82,4830,10,206,714,250,82,104,26
"02/1997",7720,8,420,1546,324,66,4186,8,178,650,262,66,164,50
"03/1997",8576,12,490,1622,392,84,4632,12,170,688,316,84,268,64
"04/1997",8734,4,536,1690,354,86,4652,4,212,698,272,86,326,74
"05/1997",10174,12,560,2018,480,72,5328,12,222,868,298,72,484,148
"06/1997",9908,4,540,1858,514,96,5036,4,190,776,324,96,604,168
"07/1997",10252,8,548,2010,542,78,5244,8,200,828,322,78,582,194
"08/1997",10578,4,592,2038,532,96,5394,4,230,798,334,96,574,170
"09/1997",9432,4,462,1708,442,86,4762,4,184,728,298,84,464,118
"10/1997",10318,,542,1938,436,92,5388,,226,846,306,92,430,112
"11/1997",9600,14,496,1914,368,98,5132,14,200,796,314,98,182,40
"12/1997",10076,18,546,2008,338,84,5544,18,212,904,296,84,126,28
"01/1998",8510,4,526,1616,288,90,4514,4,178,652,260,90,124,18
"02/1998",7700,16,436,1530,316,90,4194,16,190,638,248,88,146,54
"03/1998",8508,8,518,1666,324,90,4478,8,178,680,244,88,216,68
"04/1998",8524,2,478,1646,398,82,4446,2,164,706,286,80,354,96
"05/1998",9540,10,508,1810,450,70,4798,10,188,768,286,68,558,152
"06/1998",9544,12,506,1892,446,70,4680,12,172,712,280,70,508,142
"07/1998",10430,10,598,2016,540,118,5144,10,232,796,318,116,714,202
"08/1998",10946,12,566,2110,512,106,5358,12,186,818,344,104,668,142
"09/1998",9826,4,578,1876,540,92,4848,4,216,738,342,90,538,164
"10/1998",10144,6,608,1944,458,108,5192,6,200,838,330,102,430,110
"11/1998",9662,10,578,1812,434,88,5046,10,206,754,366,84,242,58
"12/1998",10510,10,664,2138,362,104,5402,10,202,836,306,100,162,40
"01/1999",7834,8,530,1516,336,86,4024,8,164,610,284,84,114,34
"02/1999",7424,8,448,1474,308,86,3828,8,148,594,254,84,180,34
"03/1999",8686,8,502,1630,358,76,4464,8,170,666,276,74,278,72
"04/1999",8588,4,540,1644,394,72,4252,4,194,628,244,70,428,118
"05/1999",9988,10,628,1892,492,84,4928,10,216,736,318,82,562,146
"06/1999",9636,2,616,1832,446,98,4652,2,192,722,266,96,626,152
"07/1999",10288,14,618,2010,498,112,4766,14,194,768,290,106,706,180
"08/1999",10722,12,622,2136,556,108,4992,12,172,754,338,106,700,176
"09/1999",10050,2,626,1934,482,86,4728,2,218,716,298,84,582,144
"10/1999",10564,10,652,2150,502,94,5126,10,204,860,356,90,468,120
"11/1999",9876,10,626,1918,452,90,5052,10,194,758,364,86,270,70
"12/1999",9984,6,712,2076,452,80,5236,6,252,866,386,80,136,34
"01/2000",4402,5,270,866,170,34,2129,5,91,312,135,32,80,21
"02/2000",3904,2,226,808,185,41,1930,2,81,319,147,39,90,28
"03/2000",4369,3,257,832,196,45,2119,3,79,316,145,42,199,38
"04/2000",4639,7,287,935,261,54,2332,7,113,354,185,51,248,62
"05/2000",4863,6,309,894,258,42,2295,6,103,321,173,40,329,73
"06/2000",5027,5,289,911,285,38,2319,5,85,328,164,36,400,103
"07/2000",5344,5,314,1008,288,56,2522,5,92,386,168,52,401,105
